id,Apellido,Nombre,DNI,FechaNacimiento,Telefono,Email,ObraSocial,NroCredencial
1,Martinez,Mariano,32042140,23/07/1941,11015273501,mariano.martinez@gmail.com,Swiss Medical,387193916379
2,Ruiz,Victoria,28483579,11/09/1985,11695914350,victoria.ruiz@outlook.com,Swiss Medical,706913274556
3,Diaz,Maria,23360705,18/02/1942,11092406297,maria.diaz@hotmail.com,Swiss Medical,247997880329
4,Rodriguez,Sofia,30255108,25/08/1994,11789160136,sofia.rodriguez@yahoo.com,Galeno,380732307651
5,Perez,Camila,34626814,06/08/1962,11959961715,camila.perez@hotmail.com,Swiss Medical,729448957008
6,Sanchez,Lucia,46670946,31/05/1972,11918757331,lucia.sanchez@outlook.com,PAMI,141467672025
7,Diaz,Victoria,22597363,28/12/1982,11832963843,victoria.diaz@gmail.com,Sancor Salud,330635766766
8,Castro,Ana,31251002,14/06/1988,11490007000,ana.castro@gmail.com,Galeno,486502186703
9,Fernandez,Juan,41037003,21/09/1970,11596913329,juan.fernandez@yahoo.com,Accord Salud,227733718224
10,Romero,Noelia,47627788,29/09/1976,11204768822,noelia.romero@yahoo.com,OSDE,564280366520
11,Suarez,Agustin,44814747,31/08/1959,11786072143,agustin.suarez@outlook.com,Sancor Salud,686183767479
12,Alvarez,Laura,46047950,01/07/1975,11471699137,laura.alvarez@gmail.com,PAMI,342419826248
13,Ramirez,Esteban,22302623,12/02/1950,11561668167,esteban.ramirez@yahoo.com,Accord Salud,769946240115
14,Ruiz,Jorge,27844886,29/12/1941,11048726888,jorge.ruiz@yahoo.com,Galeno,945272367896
15,Lopez,Mariano,35306850,02/05/1992,11534608619,mariano.lopez@gmail.com,OSDE,491506288754
16,Diaz,Sofia,35448893,28/01/1959,11617478432,sofia.diaz@yahoo.com,Swiss Medical,464076129787
17,Dominguez,Ricardo,36717352,04/06/1942,11427638008,ricardo.dominguez@yahoo.com,Omint,998515154166
18,Perez,Jorge,33867682,13/08/1988,11676528511,jorge.perez@gmail.com,Accord Salud,241133842270
19,Lopez,Elena,49917731,28/02/1981,11269210456,elena.lopez@yahoo.com,Sancor Salud,716970761776
20,Gomez,Paula,42624850,17/02/1942,11935215284,paula.gomez@outlook.com,OSDE,643551097683
21,Rojas,Elena,20885109,13/09/1974,11402801447,elena.rojas@yahoo.com,Accord Salud,261211851430
22,Alvarez,Jorge,29262169,13/06/1984,11808570512,jorge.alvarez@yahoo.com,Sancor Salud,199550016001
23,Diaz,Lucia,22101005,16/01/1999,11752244599,lucia.diaz@yahoo.com,Omint,888932507958
24,Suarez,Sofia,21760160,07/03/1953,11146751561,sofia.suarez@outlook.com,Galeno,546597129556
25,Suarez,Camila,21872618,09/05/1940,11906953427,camila.suarez@outlook.com,Omint,637271143005
26,Lopez,Luis,39748933,21/04/2001,11552656994,luis.lopez@outlook.com,Swiss Medical,443561897402
27,Gomez,Ana,26502461,30/01/1945,11197008165,ana.gomez@outlook.com,Medife,360090991022
28,Perez,Luis,45052747,23/02/2000,11548964792,luis.perez@outlook.com,OSDE,136058387972
29,Castro,Diego,35886193,12/12/1990,11003771452,diego.castro@yahoo.com,Sancor Salud,189798094480
30,Rojas,Jorge,30368300,29/06/1989,11332027544,jorge.rojas@hotmail.com,Swiss Medical,153911102864
31,Diaz,Mariano,30754406,07/02/1983,11407544100,mariano.diaz@hotmail.com,OSDE,985118637485
32,Rojas,Lucia,29137805,24/09/2000,11238180072,lucia.rojas@yahoo.com,OSDE,222311213702
33,Romero,Sofia,43281749,31/01/1945,11226420978,sofia.romero@gmail.com,Medife,509791320771
34,Dominguez,Ana,27507966,06/04/1973,11969441221,ana.dominguez@gmail.com,Galeno,301624402517
35,Molina,Esteban,42905831,26/10/1954,11098474865,esteban.molina@hotmail.com,Galeno,480150455056
36,Rojas,Carlos,36337297,20/12/1988,11722319320,carlos.rojas@outlook.com,Swiss Medical,469376339516
37,Martinez,Sofia,25959714,04/09/1945,11333611168,sofia.martinez@gmail.com,Sancor Salud,532295329762
38,Sanchez,Agustin,31379730,09/04/1994,11014174057,agustin.sanchez@yahoo.com,Medife,876880301804
39,Romero,Victoria,26461253,13/09/1957,11798285450,victoria.romero@outlook.com,PAMI,876705935388
40,Castro,Maria,38828046,12/05/1985,11752419184,maria.castro@yahoo.com,Galeno,939596629263
41,Garcia,Laura,38172678,21/09/1953,11025500762,laura.garcia@gmail.com,Sancor Salud,121544007010
42,Rodriguez,Luis,49523844,30/04/1984,11347441841,luis.rodriguez@hotmail.com,Omint,165064892033
