Fecha,Hora,Apellido,Nombre,DNI,Telefono,TipoConsulta,Especialidad
2025-09-08,11:50,paulo,,dwqw,,Consulta,
2025-09-08,12:13,Paulo,Reta,12345,,Consulta,
2025-09-08,12:57,paulo,,22334567,,Consulta,
2025-09-08,13:14,Victoria,,2345678,,Estudio,
2025-09-08,13:20,Carla,,2345678,,Estudio,
2025-09-08,13:21,socio,N1,2345678,,Consulta,
2025-09-09,12:30,Clara,,123456789,,Consulta,
2025-09-24,11:10,reta,paulo,1123456789,,Estudio,
2025-09-18,14:02,Perez,,,,Consulta,
2025-09-20,16:52,marcos,mar,1889148035,,Estudio,
